name,sector,is_ai,revenue_mil_y2015,revenue_mil_y2016,revenue_mil_y2017,revenue_mil_y2018,revenue_mil_y2019,revenue_mil_y2020,revenue_mil_y2021,revenue_mil_y2022,revenue_mil_y2023,employees_y2015,employees_y2016,employees_y2017,employees_y2018,employees_y2019,employees_y2020,employees_y2021,employees_y2022,employees_y2023
3M,Chemicals,Ai,32136,32255.6,32399.12,32566.56,32757.92,32973.2,33308.08,33726.68,34229,96163,100971.15,102990,105976,108095,109716,110593,111809,112368
3M,Industrials,Ai,30274,30416.34,30587.15,30786.43,31014.18,31270.4,31668.96,32167.16,32765,89446,89446,91234,93879,95756,97192,97969,99046,99541
A-Mark Precious Metals,Materials,Non Ai,5979,6070,6784,6990,7606,7606,6533.5,5461,5734.05,55,52,83,126,184,184,201,201,218
Abbott Laboratories,Health Care,Non Ai,22323,20661,20853,27390,30578,31904,37489.5,43075,45228.75,77000,74000,75000,99000,103000,107000,110000,110000,115000
AbbVie,Health Care,Non Ai,19960,22859,25638,28216,32753,33266,44731.5,56197,59006.85,26000,28000,30000,29000,30000,30000,40000,40000,50000
ABM Industries,Business Services,Non Ai,5291,5291,5145,5454,6442,6499,6243.5,5988,6287.4,120000,120000,110000,140000,140000,140000,127000,133500,127000
Abridge,Healthcare AI,Ai,0,0,0,6.09,6.7,7.37,8.11,8.92,9.81,0,0,0,0,0,0,0,0,0
Academy Sports and Outdoors,Retailing,Non Ai,5689,5689,5689,5689,5689,5689,6231,6773,7111.65,16500,16500,16500,16500,16500,16500,16504,16504,16508
Activision Blizzard,Media,Ai,7500,7501.6,7503.52,7505.76,7508.32,7511.2,7515.68,7521.28,7528,9900,9900,10098,10390,10597,10755,10841,10960,11014
Activision Blizzard,Technology,Ai,6608,6631.37,6659.42,6692.14,6729.53,6771.6,6837.04,6918.84,7017,9500,9500,9690,9971,10170,10322,10404,10518,10570
Adept,AI Foundation Models,Ai,0,0,0,0,0,0,0,27.67,30.44,0,0,0,0,0,0,0,0,0
Adobe,Technology,Ai,9030,9520.06,10108.13,10794.21,11578.3,12460.4,13832.56,15547.76,17606,21357,21357,21784,22415,22863,23205,23390,23647,23765
Adobe Systems,Technology,Ai,5854,5936.74,6036.03,6151.87,6284.26,6433.2,6664.88,6954.48,7302,,15706,16020,16484,16813,17065,17201,17390,17476
ADP,Business Services,Non Ai,11477,11477,11668,12380,13326,13326,13326,13326,13992.3,55000,55000,57000,58000,57000,57000,57000,57000,57000
Advance Auto Parts,Retailing,Non Ai,9844,9737,9568,9568,9581,9709,10353.5,10998,11547.9,57300,56500,57500,55500,55500,53000,53750,53875,53500
Advanced Micro Devices,Technology,Ai,5506,6540,7780.8,9228.4,10882.8,12744,15639.2,19258.2,23601,9687,9687,9880,10166,10369,10524,10608,10724,10777
AECOM,Engineering & Construction,Non Ai,8357,17990,17411,17411,20156,20173,17142.5,14112,14817.6,43300,92000,87000,87000,,86000,68500,62000,50000
AES,Energy,Non Ai,17378,14963,14287,13850,10736,10189,10665,11141,11698.05,18500,21000,19000,10500,9000,8000,8225,8800,9100
Aetna,Health Care,Non Ai,58003,60337,63155,60535,60535,60535,60535,60535,63561.75,48800,50100,49500,,47950,47950,47950,47950,47950
Aflac,Financials,Non Ai,22728,20872,22559,21667,21758,22307,22206.5,22106,23211.3,9525,9915,10212,,11390,11729,12088,12220.75,12882
AGCO,Industrials,Non Ai,9724,7467,7411,8307,9352,9041,10089.5,11138,11694.9,20828,19588,19795,20462,21200,20961,22130.5,23340.25,25600
Agilent Technologies,Technology,Ai,6981,6981,6981,6981,6981,6981,6981,6981,6981,21400,21400,21828,22461,22910,23253,23439,23696,23814
AGL Resources,Energy,Non Ai,5628,5628,5628,5628,5628,5628,5628,5628,5909.4,5165,5165,5165,5165,5165,5165,5165,5165,5165
AIG,Financials,Non Ai,64406,58327,52367,49520,47389,49746,50901.5,52057,54659.85,65000,66400,56400,49800,49600,46000,41300,37000,26200
Air Products & Chemicals,Chemicals,Non Ai,10448,9895,9524,8442,8930,8919,9621,10323,10839.15,21050,19550,18450,15150,16150,17570,19160,18832.5,20805
Airbnb,Technology,Ai,10449,9896,9525,8443,8931,8920,8857,10324,12700,6811,6811,6947,7148,7290,7399,7458,7540,7577
Airgas,Wholesalers,Non Ai,10450,9897,9526,8444,8932,8921,9623,10325,10841.25,17000,17000,17000,,,17000,17000,17000,17000
AK Steel Holding,Materials,Non Ai,6506,6693,5883,6081,6818,6359,6359,6359,6676.95,8313,8500,8500,9200,9500,9300,9300,9350,9300
Alaska Air Group,Transportation,Non Ai,5368,5598,5931,7933,8264,8781,8781,8781,9220.05,13952,13858,19112,23156,23376,24134,24134,23975.5,24196
Albertsons,Food & Drug Stores,Non Ai,59925,59925,59925,59925,59925,60535,65112.5,69690,73174.5,275000,275000,275000,275000,275000,267000,283500,233375,195750
Albertsons Cos.,Food & Drug Stores,Non Ai,58734,58734,58734,59678,59678,59678,59678,59678,62661.9,274000,274000,274000,273000,273000,273000,273000,273000,273000
Alcoa,Materials,Non Ai,23906,23906,9318,11652,13403,10433,11292.5,12152,12759.6,59000,59000,14000,14600,14000,13800,13800,13500,13100
Alleghany,Financials,Non Ai,5232,5232,6131,6425,6887,9041,10522.5,12004,12604.2,,2067,3420,4402,9300,10786,10786,11678,13313
Allergan,Health Care,Non Ai,7238,5233,6132,6426,6888,9042,10523.5,12005,12605.25,10500,10500,10500,10500,10500,10500,10500,10500,10500
Alliance Data Systems,Business Services,Non Ai,5303,6440,7138,7719,7791,7791,7791,7791,8180.55,15000,16000,17000,20000,20000,20000,20000,20000,20000
Allstate,Financials,Non Ai,35239,35653,36534,38524,39815,44675,48951.5,53228,55889.4,39950,41350,43275,42680,45420,46035,50267.5,49988.75,54250
Ally Financial,Financials,Non Ai,9790,9539,9835,9866,10466,11618,11154,10690,11224.5,6900,7100,7600,7900,8200,8700,9600,10025,11600
